,Movie Title,Released Year,Runtime,IMDB Rating,Director,Genre,Stars
89,Haider,2014,160 min,8.1,Vishal Bhardwaj,"Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
90,Hamilton,2020,160 min,8.6,Thomas Kail,Drama,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry"
91,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,8.1,David Yates,Drama,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
92,Heat,1995,170 min,8.2,Michael Mann,"Crime, Drama","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
93,Hera Pheri,2000,156 min,8.2,Priyadarshan,"Comedy, Crime","Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu"
94,Hotaru no haka,1988,89 min,8.5,Isao Takahata,Drama,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
95,Hotel Rwanda,2004,121 min,8.1,Terry George,Drama,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali"
96,Höstsonaten,1978,99 min,8.2,Ingmar Bergman,Drama,"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk"
97,Idi i smotri,1985,142 min,8.3,Elem Klimov,Drama,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
98,Ikiru,1952,143 min,8.3,Akira Kurosawa,Drama,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
99,In the Name of the Father,1993,133 min,8.1,Jim Sheridan,"Crime, Drama","Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King"
100,Incendies,2010,131 min,8.3,Denis Villeneuve,Drama,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
101,Inglourious Basterds,2009,153 min,8.3,Quentin Tarantino,Drama,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
102,Inherit the Wind,1960,128 min,8.1,Stanley Kramer,Drama,"Spencer Tracy, Fredric March, Gene Kelly, Dick York"
103,Inside Out,2015,95 min,8.1,Pete Docter,Comedy,"Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black"
104,Interstellar,2014,169 min,8.6,Christopher Nolan,Drama,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
105,Into the Wild,2007,148 min,8.1,Sean Penn,Drama,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
106,It Happened One Night,1934,105 min,8.1,Frank Capra,Comedy,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"
107,It's a Wonderful Life,1946,130 min,8.6,Frank Capra,Drama,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
108,Ivanovo detstvo,1962,95 min,8.1,Andrei Tarkovsky,Drama,"Eduard Abalov, Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov"
109,Jagten,2012,115 min,8.3,Thomas Vinterberg,Drama,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
110,Jodaeiye Nader az Simin,2011,123 min,8.3,Asghar Farhadi,Drama,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
111,Joker,2019,122 min,8.5,Todd Phillips,"Crime, Drama","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
112,Judgment at Nuremberg,1961,179 min,8.2,Stanley Kramer,Drama,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
113,Jungfrukällan,1960,89 min,8.1,Ingmar Bergman,Drama,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson"
